"Property","English","Spanish","German","Japanese","Korean","Chinese (Simplified)","Russian"
"s_start_EmissionHueShift2","Color Adjust","Ajuste de color","Farbanpassung","色調整","이미션 2 색조 변경","颜色调整","Коррекция Цвета"
"_EmissionHueShiftColorSpace2","Color Space","Espacio de color","Farbraum","カラースペース","색 공간","颜色模式","Цветовое Пространство"
"_EmissionHueSelectOrShift2","Select or Shift","Seleccionar o cambiar","Wählen oder verschieben","選択またはシフト","선택 또는 변경","选择或偏移",""
"_EmissionSaturation2","Saturation","Saturación","Sättigung","飽和","채도","饱和度","Насыщенность"
"s_start_EmissionCenterOut2","Center Out","Centrada","Zentrieren","センターアウト","이미션 2 센터 아웃","中心向外",""
"s_start_EmissionLightBased2","Light Based","Fosforescente","Lichtbasiert","ライトベース","이미션 2 라이트 기반","基于光照",""
"s_start_EmissionBlinking2","Blinking","Parpadeante","Blinzeln","点滅","이미션 2 깜박임","闪烁",""
"s_start_ScrollingEmission2","Scrolling","Deslizante","Scrollen","スクロール","이미션 2 스크롤","滚动",""
"s_start_EmissionAL2Multiply","Strength Multiply","Multiplicador de intensidad","Stärke multiplizieren","強度を乗算","이미션 2 AL 곱하기","乘法强度",""
"s_start_EmissionAL2Add","Strength Add","Aditivo de intensidad","Kraft hinzufügen","強度を追加","이미션 2 AL 더하기","添加强度",""
"s_start_EmissionAL2COut","Center Out","Centrada","Zentrieren","センターアウト","이미션 2 AL 센터 아웃","中心向外",""
"_EmissionFluorescence3","Fluorescence","Fluorescente","Fluoreszenz","蛍光","형광 3","荧光",""
"s_start_EmissionHueShift3","Color Adjust","Ajuste de color","Farbanpassung","色調整","이미션 3 색조 변경","颜色调整","Коррекция Цвета"
"_EmissionHueShiftColorSpace3","Color Space","Espacio de color","Farbraum","カラースペース","색 공간","颜色模式","Цветовое Пространство"
"_EmissionHueSelectOrShift3","Select or Shift","Seleccionar o cambiar","Wählen oder verschieben","選択またはシフト","선택 또는 변경","选择或偏移",""
"_EmissionSaturation3","Saturation","Saturación","Sättigung","飽和","채도","饱和度","Насыщенность"
"s_start_EmissionCenterOut3","Center Out","Centrada","Zentrieren","センターアウト","이미션 3 센터 아웃","中心向外",""
"s_start_EmissionLightBased3","Light Based","Fosforescente","Lichtbasiert","ライトベース","이미션 3 라이트 기반","基于光照",""
"s_start_EmissionBlinking3","Blinking","Parpadeante","Blinzeln","点滅","이미션 3 깜박임","闪烁",""
"s_start_ScrollingEmission3","Scrolling","Deslizante","Scrollen","スクロール","이미션 3 스크롤","滚动",""
"s_start_EmissionAL3Multiply","Strength Multiply","Multiplicador de intensidad","Stärke multiplizieren","強度を乗算","이미션 3 AL 곱하기","乘法强度",""
"s_start_EmissionAL3Add","Strength Add","Aditivo de intensidad","Kraft hinzufügen","強度を追加","이미션 3 AL 더하기","添加强度",""
"s_start_EmissionAL3COut","Center Out","Centrada","Zentrieren","センターアウト","이미션 3 AL 센터 아웃","中心向外",""
"_GlitterLayers","Layers","Capas","Schichten","レイヤー","글리터 레이어","层",""
"s_start_GlitterColorAndShape","Shape & Color","Forma y color","Form & Farbe","形状と色","글리터 색상 & 모양","形状 & 颜色",""
"s_start_GlitterPositionSize","Position & Size","Posición y tamaño","Position & Größe","位置とサイズ","글리터 위치 & 크기","位置 & 尺寸",""
"_GlitterRandomLocation","Random Position","Posición aleatoria","Zufällige Position","ランダムな位置","랜덤 위치","随机位置",""
"s_start_GlitterSparkleControl","Sparkle Control","Control de brillantina","Funkelkontrolle","スパークルコントロール","글리터 반짝임 제어","闪光控制",""
"s_start_GlitterRotationSection","Rotations","Rotaciones","Rotationen","回転","글리터 회전","旋转",""
"_GlitterRandomRotationSpeed","Random Speed Range","Rango de velocidad aleatoria","Zufallsgeschwindigkeitsbereich","ランダム速度範囲","랜덤 회전 속도","随机速度范围",""
"s_start_GlitterMask","Masking & Light Masking","Enmascaramiento y enmascaramiento de la luz","Maskierung und Lichtmaskierung","マスキングとライトマスキング","글리터 마스크","遮罩 & 光照遮罩",""
"_GlitterMaskInvert","Invert","Invertir","Umkehren","反転","마스크 반전","反转","Инвертировать"
"_GlitterScaleWithLighting","Scale With Lighting","Escala según la iluminación","Skalieren mit Beleuchtung","照明付きのスケール","조명에 따른 스케일","随光照缩放",""
"s_start_GlitterHueShiftSection","Hue Shift","Cambio de tono","Farbtonverschiebung","色相シフト","글리터 색조 변경","色相偏移","Сдвиг Тона"
"_GlitterHueShiftColorSpace","Color Space","Espacio de color","Farbraum","カラースペース","색 공간","颜色模式","Цветовое Пространство"
"_GlitterHueSelectOrShift","Select or Shift","Seleccionar o cambiar","Wählen oder verschieben","選択またはシフトします","선택 또는 변경","选择或偏移",""
"s_start_GlitterAudioLink","Audio Link ♫","AudioLink ♫","Audio -Link ♫","オーディオリンク♫","글리터 오디오 링크","AudioLink ♫","AudioLink ♫"
"_GlitterALEnabled","Enable Audio Link","Activar AudioLink","Aktivieren Sie den Audio -Link","オーディオリンクを有効にします","오디오 링크 활성화","启用 AudioLink","Включить AudioLink"
"_GlitterALAlphaAddBand","Alpha Band","Banda alfa","Alpha -Band","アルファバンド","알파 추가 밴드","Alpha 频段",""
"_GlitterALAlphaAdd","Alpha Mod","Modificador alfa","Alpha Mod","アルファ mod","알파 추가","Alpha 调节","Альфа-мод"
"_GlitterALMaxBrightnessBand","Max Brightness Band","Banda de brillo máximo","Max Helligkeitsband","マックスブライトネスバンド","최대 밝기 밴드","最大亮度频段",""
"_GlitterALMaxBrightnessAdd","Max Brightness Mod","Modificador de brillo máximo","Max Helligkeit Mod","最大明度 mod","최대 밝기 추가","最大亮度调节",""
"_GlitterALSizeAddBand","Size Band","Banda del tamaño","Größenband","サイズバンド","크기 밴드","尺寸频段",""
"_GlitterALSizeAdd","Size Mod","Modificador del tamaño","Größenmod","サイズmod","크기 추가","尺寸调节",""
"_GlitterALChronoSparkleSpeedType","Chrono Sparkle Type","Tipo de las chispas de cronotensidad","Chrono Sparkle Type","クロノスパークルタイプ","크로노 반짝임 유형","Chrono 闪光类型",""
"_GlitterALChronoSparkleSpeedBand","Chrono Sparkle Band","Banda de las chispas de cronotensidad","Chrono Sparkle Band","クロノスパークルバンド","크로노 반짝임 밴드","Chrono 闪光频段",""
"_GlitterALChronoSparkleSpeed","Chrono Sparkle Speed","Velocidad de las chispas de cronotensidad","Chrono Sparkle Geschwindigkeit","クロノスパークルスピード","크로노 반짝임 속도","Chrono 闪光速度",""
"_GlitterALChronoRotationSpeedType","Chrono Rotation Type","Tipo de rotación de cronotensidad","Chrono -Rotationstyp","クロノ回転タイプ","크로노 회전 유형","Chrono 旋转类型",""
"_GlitterALChronoRotationSpeedBand","Chrono Rotation Band","Banda de rotación de cronotensidad","Chrono -Rotationsband","クロノ回転バンド","크로노 회전 밴드","Chrono 旋转频段",""
"_GlitterALChronoRotationSpeed","Chrono Rotation Speed","Velocidad de rotación de cronotensidad","Chrono -Rotationsgeschwindigkeit","クロノ回転速度","크로노 회전 속도","Chrono 旋转速度",""
"s_end_GlitterAudioLink","Audio Link","AudioLink","Audio -Link","オーディオリンク","글리터 오디오 링크","AudioLink","AudioLink"
"_PathSource","Path Source","Ruta fuente","Pfadquelle","パスソース","경로 소스","路径源",""
"_PathSurfaceBlendMode","Blend Mode","Modo de mezcla","Mischmodus","ブレンドモード","블렌드 모드","混合模式","Режим Смешивания"
"_PathingUVSelect","UV","UV","PathingUVSelect","UV","UV 선택","UV","UV"
"_PathPointSampling","Point Sampling","Muestreo de puntos","Punktabtastung","ポイントサンプリング","포인트 샘플링","点采样",""
"s_start_PathTypes","Path Types","Tipos de ruta","Pfadtypen","パスタイプ","경로 유형","路径类型",""
"s_start_PathColors","Path Colors","Colores de la ruta","Pfadfarben","パスカラー","경로 색상","路径颜色",""
"s_start_PathSourceDirections","Path Source Directions","Direcciones de la ruta fuente","Pfadquelle Anweisungen","パスソースの方向","경로 소스 방향","路径源方向",""
"_PathSourceDirR","R Direction","Dirección (Canal R)","R Richtung","r方向","R 방향","R 方向",""
"_PathSourceDirG","G Direction","Dirección (Canal G)","G Richtung","G方向","G 방향","G 方向",""
"_PathSourceDirB","B Direction","Dirección (Canal B)","B Richtung","b方向","B 방향","B 方向",""
"_PathSourceDirA","A Direction","Dirección (Canal A)","Eine Richtung","方向","A 방향","A 方向",""
"s_start_PathAppearance","Path Appearance","Apariencia de la ruta","Pfadauftritt","パスの外観","경로 외형","路径外观",""
"_PathGapLengths","Gap Length","Longitud de la separación","Lückenlänge","ギャップ長","간격 길이","间隙长度",""
"s_start_TimingOptions","Timing Options","Opciones temporales","Timing -Optionen","タイミングオプション","타이밍 옵션","时间选项",""
"s_start_PathRemapping","Path Remapping","Reasignación de la ruta","Pfadverformung","パスの再マッピング","경로 리매핑","路径变形",""
"_EnablePathRemapping","Enable","Activar","Aktivieren","有効にする","활성화","启用","Включить"
"_PathRemapR","R Range","Reasignación (Canal R)","R Range","r範囲","R 범위","R 范围",""
"_PathRemapG","G Range","Reasignación (Canal G)","G -Bereich","G範囲","G 범위","G 范围",""
"_PathRemapB","B Range","Reasignación (Canal B)","B Range","B範囲","B 범위","B 范围",""
"_PathRemapA","A Range","Reasignación (Canal A)","Eine Reichweite","範囲","A 범위","A 范围",""
"s_end_PathRemapping","Path Remapping","Reasignación de la ruta","Pfadverformung","パスの再マッピング","경로 리매핑","路径变形",""
"_PathALHistoryMode","History Mode","Modo del historial","Verlaufsmodus","履歴モード","히스토리 모드","历史模式",""
"_PathALHistoryRangeR","R Range","Rango (Canal R)","R Range","r範囲","R 범위","R 范围",""
"_PathALHistoryRangeG","G Range","Rango (Canal G)","G -Bereich","G範囲","G 범위","G 范围",""
"_PathALHistoryRangeB","B Range","Rango (Canal B)","B Range","B範囲","B 범위","B 范围",""
"_PathALHistoryRangeA","A Range","Rango (Canal A)","Eine Reichweite","範囲","A 범위","A 范围",""
"_PathALAutoCorrelatorMode","Autocorrelator Mode","Modo de la autocorrelación","Autokorrelatormodus","自動相関者モード","자동 상관 모드","自动相关器模式",""
"_PathALAutoCorrelatorRangeR","R Range","Rango (Canal R)","R Range","r範囲","R 범위","R 范围",""
"_PathALAutoCorrelatorRangeG","G Range","Rango (Canal G)","G -Bereich","G範囲","G 범위","G 范围",""
"_PathALAutoCorrelatorRangeB","B Range","Rango (Canal B)","B Range","B範囲","B 범위","B 范围",""
"_PathALAutoCorrelatorRangeA","A Range","Rango (Canal A)","Eine Reichweite","範囲","A 범위","A 范围",""
"_PathALColorChord","<size=13><b>  Color Chord</b></size>","<size=13><b>Acorde de color </b></size>","<size=13><b>Farbakkord </b></size>","<サイズ= 13> <b>カラーコード</b></size>","컬러 코드","<size=13><b>颜色编码条</b></size>",""
"s_start_MirrorTexture","Mirror Texture & Color","Textura y color en espejo","Spiegelstruktur & Farbe","ミラーテクスチャと色","거울 텍스처 & 색상","镜像纹理 & 颜色",""
"_MirrorTextureEnabled","Enable","Activar","Aktivieren","有効にする","활성화","启用","Включить"
"_MirrorTextureForceEnabled","Test","Prueba","Prüfen","テスト","강제 활성화 (테스트)","测试",""
"s_start_DepthFXColorEmission","Color & Emission","Color y emisión","Farbe und Emission","色と発光","깊이 FX 색상 & 방출","颜色 & 自发光",""
"s_start_DepthAlpha","Alpha","Alfa","Alpha","アルファ","깊이 알파","Alpha","Альфа"
"_TextFPSOutlineColor","Outline Color","Color del contorno","Umrunden Farbe","アウトライン色","FPS 텍스트 아웃라인 색상","描边颜色",""
"s_start_ParallaxInternalLayerControls","Layer Controls","Controles de capas","Schichtsteuerung","レイヤーコントロール","내부 시차 레이어 제어","图层控制",""
"s_start_ParallaxInternalLayerColoring","Layer Colors","Colores de capas","Schichtfarben","色の層","내부 시차 레이어 색상","图层颜色",""
"_ParallaxInternalBlendMode","Internal Blend Mode","Modo de mezcla interna","Interner Mischmodus","内部ブレンドモード","내부 블렌드 모드","内部混合模式",""
"_ParallaxInternalSurfaceBlendMode","Surface Blend Mode","Modo de mezcla superficial","Oberflächenmischmodus","表面ブレンドモード","표면 블렌드 모드","表面混合模式",""
"s_start_ParallaxInternalHueShift","Hue Shift","Cambio de tono","Farbtonverschiebung","色相シフト","내부 시차 색조 변경","色相偏移","Сдвиг Тона"
"_ParallaxInternalHueShiftColorSpace","Color Space","Espacio de color","Farbraum","カラースペース","색 공간","颜色模式","Цветовое Пространство"
"_ParallaxInternalHueSelectOrShift","Select or Shift","Seleccionar o cambiar","Wählen oder verschieben","選択またはシフトします","선택 또는 변경","选择或偏移",""
"m_start_voronoi","Voronoi","Voronoi","Voronoi","ボロノイ","보로노이","Voronoi","Вороной"
"_VoronoiEnabled","Voronoi Enabled","Voronoi activado","Voronoi aktiviert","ボロノイが有効になっています","보로노이 활성화","启用 Voronoi",""
"_VoronoiType","Type","Tipo","Typ","タイプ","유형","类型","Тип"
"_VoronoiSpace","Space","Espacio","Raum","空間","공간","空间",""
"_VoronoiBlend","Blend","Mezcla","Mischung","ブレンド","블렌드","混合",""
"_VoronoiAffectsMaterialAlpha","Affects Material Alpha","Afecta al alfa del material","Betrifft das Material alpha","材料アルファに影響します","재질 알파에 영향","影响材质 Alpha",""
"_VoronoiMask","Mask","Máscara","Maske","マスク","마스크","遮罩","Маска"
"_VoronoiMaskPan","Panning","Barrido","Bewegung","パン","패닝","平移","Прокрутка"
"_VoronoiMaskUV","UV","UV","UV","UV","UV","UV","UV"
"_VoronoiMaskChannel","Channel","Canal","Kanal","チャネル","채널","通道","Канал"
"_VoronoiGlobalMask","Global Mask","Máscara global","Globale Maske","グローバルマスク","글로벌 마스크","全局遮罩","Глобальная Маска"
"_VoronoiGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンド","글로벌 마스크 블렌드 유형","混合","Смешивание"
"_VoronoiNoise","Noise","Ruido","Lärm","ノイズ","노이즈","噪声",""
"_VoronoiNoisePan","Panning","Barrido","Bewegung","パン","패닝","平移","Прокрутка"
"_VoronoiNoiseUV","UV","UV","UV","UV","UV","UV","UV"
"_VoronoiNoiseChannel","Channel","Canal","Kanal","チャネル","채널","通道","Канал"
"_VoronoiNoiseIntensity","Noise Intensity","Intensidad del ruido","Rauschintensität","ノイズ強度","노이즈 강도","噪声强度",""
"_VoronoiOuterColor","Outer Color","Color externo","Äußere Farbe","外の色","외부 색상","外部颜色",""
"_VoronoiOuterEmissionStrength","Outer Emission","Emisión externa","Äußere Emission","外側放射","외부 방출","外部自发光",""
"_VoronoiInnerColor","Inner Color","Color interno","Innere Farbe","内側の色","내부 색상","内部颜色",""
"_VoronoiInnerEmissionStrength","Inner Emission","Emisión interna","Innere Emission","内部放出","내부 방출","内部自发光",""
"_VoronoiGradient","Gradient","Gradiente","Gradient","勾配","그라데이션","渐变","Градиент"
"_VoronoiPower","Power","Potencia","Leistung","力","파워","力度","Мощность"
"_VoronoiScale","Scale","Escala","Skala","規模","스케일","缩放","Масштаб"
"_VoronoiSpeed","Speed","Velocidad","Geschwindigkeit","スピード","속도","速度","Скорость"
"m_start_voronoiRandom","Voronoi Random Cell Color","Color de celdas aleatorio de Voronoi","Voronoi zufällige Zellfarbe","ボロノイランダムセルの色","보로노이 랜덤 셀 색상","Voronoi 随机单元颜色",""
"_VoronoiEnableRandomCellColor","Rando Cell Col","Color de celdas aleatorio","VoronoiEnableRandomCellColor","ボロノイランダムセルの色","랜덤 셀 색상 활성화","随机单元颜色",""
"_VoronoiRandomMinMaxSaturation","Saturation Range","Rango de saturación","Sättigungsbereich","飽和範囲","채도 범위","饱和度范围",""
"_VoronoiRandomMinMaxBrightness","Brightness Range","Rango de brillo","Helligkeitsbereich","輝度範囲","밝기 범위","亮度范围",""
"m_start_VoronoiAudioLink","Audio Link ♫","AudioLink ♫","Audio -Link ♫","オーディオリンク♫","보로노이 오디오 링크","AudioLink ♫","AudioLink ♫"
"_AudioLinkVoronoiInnerEmissionBand","Inner Emission Band","Banda de emisión interna","Innenemissionsband","内側の発光バンド","내부 방출 밴드","内部自发光频段",""
"_AudioLinkVoronoiInnerEmission","Inner Emission Mod","Modificador de emisión interna","Innere Emissionsmod","内部発光mod","내부 방출 모드","内部自发光调节",""
"_AudioLinkVoronoiOuterEmissionBand","Outer Emission Band","Banda de emisión externa","Außenemissionsband","外側の発光バンド","외부 방출 밴드","外部自发光频段",""
"_AudioLinkVoronoiOuterEmission","Outer Emission Mod","Modificador de emisión externa","Äußere Emissionsmod","外側発光mod","외부 방출 모드","外部自发光调节",""
"_AudioLinkVoronoiGradientMinAddBand","Gradient Min Band","Banda de gradiente mínimo","Gradient Min Band","グラデーションミンバンド","최소 그라데이션 밴드","渐变最小频段",""
"_AudioLinkVoronoiGradientMinAdd","Gradient Min Add","Modificador de gradiente mínimo","Gradient min add","グラデーションミン追加","최소 그라데이션 추가","渐变最小添加",""
"_AudioLinkVoronoiGradientMaxAddBand","Gradient Max Band","Banda de gradiente máximo","Gradient Max Band","グラデーションマックスバンド","최대 그라데이션 밴드","渐变最大频段",""
"_AudioLinkVoronoiGradientMaxAdd","Gradient Max Add","Modificador de gradiente máximo","Gradient Max Add","グラデーションマックス追加","최대 그라데이션 추가","渐变最大添加",""
"_AudioLinkVoronoiChronoSpeedXType","Speed X Motion Type","Tipo de movimiento de velocidad en X","Geschwindigkeits -X -Bewegungstyp","速度xモーションタイプ","X 속도 모션 유형","速度 X 运动类型",""
"_AudioLinkVoronoiChronoSpeedXBand","Speed X Band","Banda de velocidad en X","Geschwindigkeit x Band","スピードXバンド","X 속도 밴드","速度 X 频段",""
"_AudioLinkVoronoiChronoSpeedXSpeed","Speed X","Velocidad en X","Geschwindigkeit x","速度x","X 속도","速度 X",""
"_AudioLinkVoronoiChronoSpeedYType","Speed Y Motion Type","Tipo de movimiento de velocidad en Y","Geschwindigkeit Y -Bewegungstyp","速度yモーションタイプ","Y 속도 모션 유형","速度 Y 运动类型",""
"_AudioLinkVoronoiChronoSpeedYBand","Speed Y Band","Banda de velocidad en Y","Geschwindigkeit y Band","スピードYバンド","Y 속도 밴드","速度 Y 频段",""
"_AudioLinkVoronoiChronoSpeedYSpeed","Speed Y","Velocidad en Y","Geschwindigkeit y","速度y","Y 속도","速度 Y",""
"_AudioLinkVoronoiChronoSpeedZType","Speed Z Motion Type","Tipo de movimiento de velocidad en Z","Geschwindigkeit Z Bewegungstyp","速度Zモーションタイプ","Z 속도 모션 유형","速度 Z 运动类型",""
"_AudioLinkVoronoiChronoSpeedZBand","Speed Z Band","Banda de velocidad en Z","Speed ​​Z -Band","スピードZバンド","Z 속도 밴드","速度 Z 频段",""
"_AudioLinkVoronoiChronoSpeedZSpeed","Speed Z","Velocidad en Z","Geschwindigkeit z","速度z","Z 속도","速度 Z",""
"_TruchetBlendType","Blending","Tipo de mezcla","Mischen","ブレンド","트루셰 블렌드 유형","混合","Смешивание"
"_TruchetPanOffset","Pan & Offset","Barrido y desplazamiento","Pan & Offset","パン＆オフセット","패닝 & 오프셋","平移 & 偏移",""
"_TruchetMask","Truchet Mask","Máscara de Truchet","TRURKET -MASK","トルシェット・マスク","트루셰 마스크","Truchet 遮罩",""
"_TruchetMaskPan","Panning","Barrido","Bewegung","パン","패닝","平移","Прокрутка"
"_TruchetMaskUV","UV","UV","UV","UV","UV","UV","UV"
"_TruchetMaskChannel","Channel","Canal","Kanal","チャネル","채널","通道","Канал"
"_TruchetMaskInvert","Invert","Invertir","Umkehren","反転","반전","反转","Инвертировать"
"_TruchetMaskGlobalMask","Global Mask","Máscara global","Globale Maske","グローバルマスク","글로벌 마스크","全局遮罩","Глобальная Маска"
"_TruchetMaskGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンド","글로벌 마스크 블렌드 유형","混合","Смешивание"
"_TruchetMaskIntensity","Intensity","Intensidad","Intensität","強度","강도","强度","Интенсивность"
"_TruchetEdgeSharpness","Edge Sharpness","Nitidez del borde","Randschärfe","エッジシャープネス","가장자리 선명도","边缘锐度",""
"_TruchetOverrideAlpha","Override Alpha","Anular alfa","Überschreiben Alpha","アルファをオーバーライドします","알파 덮어쓰기","覆盖 Alpha",""
"m_start_TruchetAudioLink","Audio Link ♫","AudioLink ♫","Audio -Link ♫","オーディオリンク♫","트루셰 오디오 링크","AudioLink ♫","AudioLink ♫"
"_TruchetHideWhenNoAL","Hide When No AL","Ocultar cuando no haya AL","Sich verstecken"," wenn kein Al","Alがないときに隠す","无 AL 时隐藏",""
"_TruchetALEmissionToggle","AL Emission","Emisión del AL","Al -Emission","AL発光","AL 방출 토글","AL 自发光",""
"_TruchetALEmissionBand","Emission Band","Banda de emisión","Emissionsband","発光バンド","방출 밴드","自发光频段",""
"_TruchetALEmission","Emission Add","Valor a añadir a la emisión","Emission hinzufügen","発光量追加","방출 추가","添加自发光",""
"_TruchetALAlphaToggle","AL Alpha","Alfa del AL","Al Alpha","アルファルファ","AL 알파 토글","AL Alpha",""
"_TruchetALAlphaBand","Alpha Band","Banda alfa","Alpha -Band","アルファバンド","알파 밴드","Alpha 频段",""
"_TruchetALAlpha","Alpha Multiply","Multiplicador alfa","Alpha multiplizieren","アルファ増加","알파 곱하기","Alpha 乘法",""
"_TruchetChronoPanToggle","Chrono Pan","Barrido","Chrono Pan","クロノパン","크로노 팬 토글","Chrono 平移",""
"_TruchetChronoPanBand","Band","Banda","Band","バンド","크로노 팬 밴드","频段","Частота"
"_TruchetChronoPanType","Chrono Motion Type","Tipo de movimiento de cronotensidad","Chrono -Bewegungstyp","クロノモーションタイプ","크로노 팬 유형","Chrono 运动类型",""
"_TruchetChronoPanSpeed","Pan Speed","Velocidad","Pan -Geschwindigkeit","パンスピード","크로노 팬 속도","平移速度","Скорость Прокрутки"
"_AudioLinkSmoothingBass","Bass","Graves","Bass","ベース","베이스","低音",""
"_AudioLinkSmoothingLowMid","Low Mid","Medios bajos","Niedrige Mitte","低いミッド","로우 미드","中低音",""
"_AudioLinkSmoothingHighMid","High Mid","Medios altos","Hohe Mitte","ハイミッド","하이 미드","中高音",""
"_AudioLinkSmoothingTreble","Treble","Agudos","Verdreifachen","トレブル","트레블","高音",""
"m_start_audioLinkOverrides","Overrides","Anulación","Überschreiben","オーバーライド","오디오 링크 오버라이드","覆盖",""
"s_start_AudioLinkBandOverrides","Band Overrides","Anulación de la banda","Band überschreibt","バンドオーバーライド","밴드 오버라이드","频段覆盖",""
"_AudioLinkBandOverridesEnabled","Band Overrides","Anulación de la banda","Band überschreibt","バンドオーバーライド","밴드 오버라이드 활성화","频段覆盖",""
"_AudioLinkBandOverrideSliders","Band Override Sliders","Deslizadores de anulación de la banda","Band überschreibt die Schieberegler","バンドオーバーライドスライダー","밴드 오버라이드 슬라이더","频段覆盖滑块",""
"s_start_ALDecalVolumeOptions","Volume","Volumen","Volumen","音量","AL 데칼 볼륨 옵션","音量",""
"s_start_ALDecalBandOptions","Band","Banda","Band","バンド","AL 데칼 밴드 옵션","频段","Частота"
"s_start_ALDecalShapeClipOptions","Shape Clip","Recorte de forma","Formclip","形状クリップ","AL 데칼 모양 클립 옵션","形状剪切",""
"s_start_ALDecalAudioModsOptions","Audio Mods","Modos de audio","Audio -Mods","オーディオMOD","AL 데칼 오디오 모드 옵션","音频调节",""
"s_start_ALDecalColorsBlendingOptions","Colors and Blending","Colores y mezcla","Farben und Mischen","色とブレンド","AL 데칼 색상 & 블렌딩 옵션","颜色 & 混合",""
"_ALDecalGlobalMask","Global Mask","Máscara global","Globale Maske","グローバルマスク","글로벌 마스크","全局遮罩","Глобальная Маска"
"_ALDecalGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンド","글로벌 마스크 블렌드 유형","混合","Смешивание"
"m_start_ALVolumeColor","AL ♫ Volume Color","Color del volumen (AL ♫)","Al ♫ Volumenfarbe","al♫ボリュームカラー","AL 볼륨 색상","AL ♫ 音量颜色",""
"_EnableVolumeColor","Enable AL Volume Color","Activar el color del volumen","Aktivieren Sie Al Volumenfarbe","ALボリュームの色を有効にします","볼륨 색상 활성화","启用 AL 音量颜色",""
"_ALVolumeColorUV","UV","UV","UV","UV","UV","UV","UV"
"_ALVolumeColorDirection","UV Direction","Dirección UV","UV -Richtung","UV方向","UV 방향","UV 方向",""
"_ALVolumeColorBlendType","Blend Type","Tipo de mezcla","Mischtyp","ブレンドタイプ","블렌드 유형","混合类型",""
"_ALVolumeColorBlendAlpha","Alpha","Alfa","Alpha","アルファ","알파","Alpha","Альфа"
"_ALVolumeColorLow","Volume Color Low","Color del volumen bajo","Volumenfarbe niedrig","ボリュームカラーロー","낮은 볼륨 색상","低音量颜色",""
"_ALLowEmission","Low Emission","Emisión del volumen bajo","Niedrige Emission","発光・低","낮은 방출","低自发光",""
"_ALVolumeColorMid","Volume Color Mid","Color del volumen medio","Lautstärkefarbe Mitte","ボリュームカラーミッド","중간 볼륨 색상","中音量颜色",""
"_ALMidEmission","Mid Emission","Emisión del volumen medio","Mittlere Emission","発光・中","중간 방출","中自发光",""
"_ALVolumeColorHigh","Volume Color High","Color del volumen alto","Volumenfarbe hoch","ボリュームカラーハイ","높은 볼륨 색상","高音量颜色",""
"_ALHighEmission","High Emission","Emisión del volumen alto","Hohe Emission","高い発光・高","높은 방출","高自发光",""
"m_vertexCategory","Vertex Options","Opciones de los vértices","Scheitelpunktoptionen","頂点オプション","버텍스 옵션","顶点选项",""
"_VertexBasicsMask","RGBA Effects Mask [Click to Expand]","Máscara de efectos RGBA [Click para expandir]","RGBA -Effektmaske ]","RGBAエフェクトマスク]","기본 마스크","基础遮罩 (RGBA 效果)",""
"_VertexBasicsMaskUVPan","Panning","Barrido","Bewegung","パン","패닝","平移","Прокрутка"
"VertexBasicsMaskUV","UV","UV","UV","UV","UV","UV","UV"
"_VertexBasicsMaskChannel","Basics Mask Channel","Canal de la máscara básica","Basics Mask -Kanal","基本マスクチャネル","기본 마스크 채널","基础遮罩通道",""
"s_start_VertexManipulationHeight","Height Map","Mapa de altura","HöhenTextur","高さマップ","버텍스 조작 높이","高度图",""
"_VertexManipulationHeightMapChannel","Map Channel","Canal del mapa","Texturenkanal","マップチャネル","높이 맵 채널","贴图通道",""
"s_start_vertexRounding","Vertex Rounding (Blocky/PS1)","Redondeo de vértices (Baja resolución poligonal/PS1)","Scheitelpunktrundung (Blocky/PS1)","頂点の丸め（blocky/ps1）","버텍스 라운딩 (PS1 스타일)","顶点圆角 (Blocky/PS1)",""
"_VertexRoundingMaskChannel","Mask Channel","Canal de la máscara","Maskenkanal","マスクチャネル","마스크 채널","遮罩通道","Канал Маски"
"s_start_VertexBarrelMode","Barrel Distortion","Distorsión de barril","Fassverzerrung","バレルの歪み","버텍스 배럴 모드","桶形失真",""
"_VertexBarrelMaskChannel","Mask Channel","Canal de la máscara","Maskenkanal","マスクチャネル","마스크 채널","遮罩通道","Канал Маски"
"s_start_VertexSphereMode","Sphere Distortion","Distorsión esférica","Kugelverzerrung","球体の歪み","버텍스 구체 모드","球形失真",""
"_VertexSphereMode","<size=13><b>  Sphere Mode</b></size>","<size=13><b>Modo esférico </b></size>","<size=13><b>Sphere -Modus </b></size>","<サイズ= 13> <b>球体モード</b></size>","구체 모드","<size=13><b>球形模式</b></size>",""
"_VertexSphereMaskChannel","Mask Channel","Canal de la máscara","Maskenkanal","マスクチャネル","마스크 채널","遮罩通道","Канал Маски"
"_VertexSphereRadius","Sphere Radius","Radio esférico","Kugelradius","球体半径","반경","球体半径",""
"_VertexSphereHeight","Sphere Height","Altura esférica","Kugelhöhe","球の高さ","높이","球体高度",""
"_VertexSphereAlpha","Sphere Alpha","Alfa esférico","Kugel Alpha","球体アルファ","알파","球体 Alpha",""
"_VertexSphereCenter","Sphere Center","Centro esférico","Sphere Center","球体センター","중심","球体中心",""
"s_start_VertexTornadoMode","Tornado","Tornado","Tornado","竜巻","버텍스 토네이도 모드","旋转",""
